Designator,Mid X,Mid Y,Rotation,Layer
C2,163.6,-69.15,180.0,top
C3,163.65,-61.35,0.0,top
C4,173.75,-65.9,0.0,top
C5,168.5,-86.0,0.0,top
C6,160.05,-75.75,90.0,top
C7,162.9,-76.3,270.0,top
D1,151.4,-86.9,90.0,top
J6,173.95,-88.85,270.0,top
Q1,169.0,-56.25,0.0,top
Q2,176.45,-57.5,180.0,top
Q3,155.8,-88.4625,180.0,top
R1,168.15,-53.05,0.0,top
R2,174.3,-53.05,0.0,top
R3,173.85,-60.75,0.0,top
R4,177.45,-64.5,90.0,top
R5,178.45,-60.9,0.0,top
R6,173.85,-63.4,180.0,top
R8,177.15,-71.95,0.0,top
R9,160.9,-88.85,90.0,top
TP4056,169.0875,-61.0375,180.0,top
U1,162.65,-65.3125,0.0,top
U2,174.85,-78.8,0.0,top
U4,167.1,-80.95,0.0,top
